Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;12_meses;3;41;DeBÍ TiRAR MáS FOToS;0;salsa, loud, reggaeton, instrumental;2026-03-25 18:49:30;;2lTm559tuIvatlT1u0JYG2
Tengo Deseo;Unik0;Unik0, La Yumi Rd;12_meses;3;42;Tengo Deseo;0;N/A;2026-03-25 18:49:30;;30gdfpJCK63a7BG9MeqnDQ
ME JALO;Fuerza Regida;Fuerza Regida, Grupo Frontera;12_meses;3;43;MALA MÍA;0;latin;2026-03-25 18:49:30;;3D24ErT1MMmUfXWotSj2A2
Assustar o Destino;Flay;Flay, Marília Tavares;12_meses;3;44;Assustar o Destino;0;N/A;2026-03-25 18:49:30;;3hLhmcztmsMeLH45qHGVUr
With You (feat. Omah Lay);Davido;Davido, Omah Lay;12_meses;3;45;5ive;0;N/A;2026-03-25 18:49:30;;5GyaXqMfcIGHfmTUITFacS
SÓ METADE;Litto Lins;Litto Lins, Natanzinho Lima;12_meses;3;46;SÓ METADE;0;N/A;2026-03-25 18:49:30;;5bZd64hLseYQdeZ2wgYf6Z
Carita Triste;Alexis y Fido;Alexis y Fido;12_meses;3;47;Carita Triste;0;N/A;2026-03-25 18:49:30;;5etADEsDL50apt3Gn8WlYr
Eu Vou Te Deixar Ir;Manu;Manu, Léo Foguete;12_meses;3;48;Destino, Vol. 2;0;N/A;2026-03-25 18:49:30;;7c7MSxSjue7jKtdxl2lHDP
CORALINE;Måneskin;Måneskin;12_meses;3;49;Teatro d'ira - Vol. I;0;N/A;2026-03-25 18:49:30;;7HMz8o0m7ASQ3ImFPfhWTY
BIRDS OF A FEATHER;Billie Eilish;Billie Eilish;12_meses;3;50;HIT ME HARD AND SOFT;0;2024, pop, peter, alt-pop;2026-03-25 18:49:30;;6dOtVTDdiauQNBQEDOtlAB
