Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
Birds & the Bees;Baby Keem;Baby Keem;1_mes;1;16;Ca$ino;0;N/A;2026-03-25 18:49:30;;7bwLHhqhRu0fVTM3aaeK9V
OMG;NewJeans;NewJeans;1_mes;1;17;NewJeans 'OMG';0;future bass, k-pop, r&b, 2023, baltimore club;2026-03-25 18:49:30;;65FftemJ1DbbZ45DUfHJXE
AT THE PARTY (feat. Pharrell Williams & Travis Scott);Kid Cudi;Kid Cudi, Pharrell Williams, Travis Scott;1_mes;1;18;INSANO;0;N/A;2026-03-25 18:49:30;;0PGj9A3Yg5mXfp4VYlL2HY
Magnetic;ILLIT;ILLIT;1_mes;1;19;SUPER REAL ME;0;k-pop, pluggnb, soty;2026-03-25 18:49:30;;1aKvZDoLGkNMxoRYgkckZG
IDGAF (feat. Yeat);Drake;Drake, Yeat;1_mes;1;20;For All The Dogs;0;nu jazz, drake, rage, vocal jazz, my top songs;2026-03-25 18:49:30;;2YSzYUF3jWqb9YP9VXmpjE
Billyeoon Goyangi (Do the Dance);ILLIT;ILLIT;1_mes;1;21;bomb;0;disco, french house, soty, bomb;2026-03-25 18:49:30;;4p0uVFAXKUISu8yp9gNtWE
ETA;NewJeans;NewJeans;1_mes;1;22;NewJeans 2nd EP 'Get Up';0;catchy, k-pop, korean, 2023, baltimore club;2026-03-25 18:49:30;;56v8WEnGzLByGsDAXDiv4d
よあけのうた - Yoake no uta;jo0ji;jo0ji;1_mes;1;23;よあけのうた - Yoake no uta - JUJUTSU KAISEN The Culling Game part1 Ending Theme Song;0;N/A;2026-03-25 18:49:30;;5EiVeDviICNBtdhZwGxp0Z
Queencard;i-dle;i-dle;1_mes;1;24;I feel;0;pop rock, female empowerment, k-pop, hit, 2023;2026-03-25 18:49:30;;5FSJErpzGIUmp0TMioaQno
Very, Slowly;BIBI;BIBI;1_mes;1;25;Twenty-Five Twenty-One OST Part 3;0;N/A;2026-03-25 18:49:30;;7GkHIsnziYgk6j1lx2TK6H
Nosetalgia;Pusha T;Pusha T, Kendrick Lamar;1_mes;1;26;My Name Is My Name;0;N/A;2026-03-25 18:49:30;;7aK5rlTVxSgcqShPMI1TTH
Bam Yang Gang;BIBI;BIBI;1_mes;1;27;EVE: ROMANCE;0;N/A;2026-03-25 18:49:30;;20tMQD6mORg6ZTiLmUSZly
Texas;BigXthaPlug;BigXthaPlug;1_mes;1;28;AMAR;0;country rap, southern hip hop, trap;2026-03-25 18:49:30;;7j7ud2oFTJ8BjmeI8bjkQm
All The Way (feat. Bailey Zimmerman);BigXthaPlug;BigXthaPlug, Bailey Zimmerman;1_mes;1;29;I Hope You're Happy (Commentary Version);0;N/A;2026-03-25 18:49:30;;59F5qOMpqqclD21cIAxFEo
567AM;BL3SS;BL3SS;1_mes;1;30;567AM;0;N/A;2026-03-25 18:49:30;;1Ib3NLoWJ5yev5BVzHLQHA
Chop Suey!;System Of A Down;System Of A Down;1_mes;1;31;Toxicity;0;rock, alternative, metal, alternative metal, system of a down;2026-03-25 18:49:30;;2DlHlPMa4M17kufBvI2lEN
NEM ERA PRA EU TÁ AQUI (Deus Que Me Escolheu);TOKIODK;TOKIODK, TerrorDosBeats;1_mes;1;32;INFRAÇÃO - 1º ATO;0;N/A;2026-03-25 18:49:30;;5JYIcuUNEVhy57xY8M1eHh
RUDE!;Hearts2Hearts;Hearts2Hearts;1_mes;1;33;RUDE!;0;soty, house;2026-03-25 18:49:30;;0WA27lZzPKFJKAbiDRmQDc
King Kunta;Kendrick Lamar;Kendrick Lamar;1_mes;1;34;To Pimp A Butterfly;0;funk, best of 2015, hip-hop, funky, 2015;2026-03-25 18:49:30;;0N3W5peJUQtI4eyR6GJT5O
Toxicity;System Of A Down;System Of A Down;1_mes;1;35;Toxicity;0;rock, alternative, metal, alternative metal, system of a down;2026-03-25 18:49:30;;0snQkGI5qnAmohLE7jTsTn
Whip It;BigXthaPlug;BigXthaPlug;1_mes;1;36;AMAR (Deluxe);0;N/A;2026-03-25 18:49:30;;1YA4Jn5uE82zSUUW17hnsP
Restless;BIBI;BIBI;1_mes;1;37;Restless;0;N/A;2026-03-25 18:49:30;;2Lf2P7Hei9O23LeZQACn8E
KIM KARDASHIAN;TOKIODK;TOKIODK, Markin Avel;1_mes;1;38;INFRAÇÃO - 1º ATO;0;N/A;2026-03-25 18:49:30;;5TxRcYoifoJJpZddz0Tiz7
Super Shy;NewJeans;NewJeans;1_mes;1;39;NewJeans 'Super Shy';0;drum and bass, jersey club, k-pop, 2023, you don't even know my name do ya;2026-03-25 18:49:30;;5sdQOyqq2IDhvmx2lHOpwd
BLESSINGS;Naïka;Naïka;1_mes;1;40;ECLESIA;0;N/A;2026-03-25 18:49:30;;6PUowPPmF1Fwu1Ar8rshx0
Levels;BigXthaPlug;BigXthaPlug;1_mes;1;41;AMAR;0;N/A;2026-03-25 18:49:30;;6vOeokRJNZjouabFGDLH1C
Superstar (feat. Matthew Santos);Lupe Fiasco;Lupe Fiasco, Matthew Santos;1_mes;1;42;Lupe Fiasco's The Cool;0;hip-hop, 2000s, rap;2026-03-25 18:49:30;;7dltD9eEX7X1zk8JJ9BS0e
Mmhmm;BigXthaPlug;BigXthaPlug;1_mes;1;43;THE BIGGEST;0;N/A;2026-03-25 18:49:30;;4QTlxavdQGUVitxAvQqqkU
